Cell ID,Cluster,Transcripts,Area 
idlnoimp-1,Cluster 3,23,214.85
oenfindn-1,Cluster 3,79,260.52
idnlpkbl-1,Cluster 3,0,30.97
idnlhngf-1,Cluster 3,0,68.56
idnlabgf-1,Cluster 3,0,121.63
idnljgco-1,Cluster 3,0,76.35
idjmgfnd-1,Cluster 3,9,155.74
oencbanc-1,Cluster 3,5,217.93
idmoebke-1,Cluster 3,1,135.87
idnkgold-1,Cluster 3,7,139.63
idnjljed-1,Cluster 3,0,136.69
idnahcce-1,Cluster 3,9,79.3
idmpbhob-1,Cluster 3,18,69.73
idmpgafa-1,Cluster 3,8,62.56
dhlmlpik-1,Cluster 3,175,566.12
deakldmc-1,Cluster 3,20,119.42
idndlcmj-1,Cluster 3,0,57.15
ddplgdgi-1,Cluster 3,60,456.23
idjljmjk-1,Cluster 3,4,101.52
idjpkehj-1,Cluster 3,7,272.71
idjlhanb-1,Cluster 3,1,25.84
idjlimbj-1,Cluster 3,7,34.63
ddpllgac-1,Cluster 3,69,253.21
idkmjeoa-1,Cluster 3,4,74.58
idkmllcg-1,Cluster 3,22,155.19
idkelgfk-1,Cluster 3,14,202.85
idklepfo-1,Cluster 3,12,101.05
idklgmga-1,Cluster 3,24,94.56
idklhbml-1,Cluster 3,22,139.53
idklblpa-1,Cluster 3,1,54.41
idkfmjcc-1,Cluster 3,10,74.05
idkmnpcl-1,Cluster 3,4,13.02
idndcobh-1,Cluster 3,0,60.55
idkijbpk-1,Cluster 3,0,67.39
idhoefmi-1,Cluster 3,1,39.12
idhjcgkb-1,Cluster 3,1,35.43
idkcgooa-1,Cluster 3,0,107.49
idhldgjn-1,Cluster 3,2,67.05
idhjijlb-1,Cluster 3,2,92.27
idhooiee-1,Cluster 3,2,78.68
idhpfhcf-1,Cluster 3,20,162.02
idhplhhn-1,Cluster 3,7,172.12
idhnmpdi-1,Cluster 3,6,106.61
idhnkhmd-1,Cluster 3,6,38.05
